gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
TMEM14C,-0.10198749218261582,-1.0552997056129685,0.2944623965383564,0.3548511715152841,False,0.3531927627550829,False
SH2B2,0.21396053783614644,1.0549722216371906,0.2946112257359388,0.3550089443530494,False,0.353352373245146,False
TMEM91,-0.18989343339587172,-1.0547014152688443,0.2947343358770205,0.35513570822279134,False,0.35348151612714346,False
ELL,-0.06495234521575988,-1.054407598132354,0.2948679465683767,0.35527510839651394,False,0.3536096723825578,False
PRKD1,-0.27859843652282734,-1.053699181013844,0.2951902628713058,0.3556418419838666,False,0.3539640832034903,False
DYDC1,0.04095015634771732,1.052307219506603,0.29582427900497665,0.35638404056344825,False,0.35463853885310603,False
MMP21,-0.09495728580362722,-1.0521379131211048,0.29590145865494083,0.35645536026812835,False,0.354725700681321,False
GFM2,-0.09703639774859063,-1.052092741979302,0.2959220525963639,0.35645850992013556,False,0.35474502613752823,False
SPDYE7P,0.1797234521575981,1.0519489326545004,0.29598762310738996,0.35651583327625236,False,0.3548182671439567,False
PRTN3,-0.10301801125703558,-1.0517498707234767,0.29607840264186913,0.35660351198455126,False,0.35490563102693196,False
DNAJB2,-0.08451056910569221,-1.0512495918744007,0.2963066319321904,0.35685671757305354,False,0.35515773375981186,False
RAB40C,-0.10934596622889003,-1.0510738710496734,0.2963868249572496,0.3569290769163865,False,0.35524311594362157,False
WFDC8,0.05011500938086305,1.0510390457932957,0.2964027197796523,0.3569290769163865,False,0.35525679789326164,False
LDHC,0.4956126328955597,1.0505733547506495,0.2966153247027112,0.3571634028275707,False,0.3554863045437539,False
C1orf187,0.21932401500938115,1.0505136065513418,0.29664260945271065,0.35717456425418687,False,0.35551208215012037,False
OR2L2,-0.04907467166979362,-1.0497871392928295,0.2969744964948556,0.3575524605275403,False,0.35586143258681535,False
FPR1,-0.32357473420888017,-1.04951002368123,0.29710116357339494,0.35768324441377997,False,0.3559917001741258,False
ANXA8L2,0.401066541588492,1.0492810497134872,0.2972058532998197,0.35778755525667766,False,0.35608486032978653,False
EPB41L5,-0.09321282051282154,-1.0486205736450946,0.29750797187611805,0.35812951125779696,False,0.35639837162633936,False
ZNF610,-0.26424934333958827,-1.0485804959300318,0.2975263111713719,0.3581298430747143,False,0.3564149571930103,False
SCARNA15,0.024425641025641025,1.0481789993370343,0.297710075819377,0.3583292838267951,False,0.356597387819899,False
CASP8AP2,0.08133783614759338,1.0477728841039733,0.29789603301100986,0.35853133918996427,False,0.35678779415086126,False
SLC25A25,0.11956078799249603,1.0474293328525355,0.2980534043338361,0.3586989677262738,False,0.3569547128770204,False
PLSCR2,0.1794628517823641,1.047035436042272,0.2982339071789992,0.35889441236606,False,0.3571600992890872,False
SCGB3A2,0.08228561601000624,1.0466001844294577,0.29843344731664023,0.35911274135103843,False,0.3573641664837229,False
HOXA7,-0.29490725453408473,-1.0460893600901675,0.29866774943507846,0.35937287129330975,False,0.35760945753928497,False
HIRIP3,-0.09924434021263018,-1.0458481718767552,0.2987784198018753,0.359484218411942,False,0.35772310660067747,False
IGDCC3,-0.29424684177610994,-1.045227382655399,0.29906340017545674,0.35979111368697025,False,0.3580291334558281,False
B3GAT2,-0.17162382739211957,-1.0452134792537657,0.2990697848058746,0.35979111368697025,False,0.3580313721128718,False
CH25H,-0.23839918699186935,-1.044565347099509,0.2993675187346789,0.360127445326967,False,0.35834452855362814,False
NLRP12,-0.2258944340212634,-1.0442873098044039,0.2994953030866446,0.3602593058485509,False,0.3584812544862013,False
C3orf16,0.09999868667917446,1.0438986525172091,0.29967398987581606,0.36045237658666074,False,0.3586734797251953,False
GATSL2,0.15400650406504074,1.0435503833747373,0.29983416958089737,0.36062316465122973,False,0.35883270179496696,False
INSRR,0.23345853658536575,1.0433611627955637,0.2999212223376478,0.36070598447474705,False,0.3589314673628229,False
PRKCDBP,-0.2341943089430858,-1.0427494579702545,0.3002027605264726,0.361006542198736,False,0.35924129288514406,False
INTS12,0.07211100687930028,1.0427390578833868,0.30020754873552713,0.361006542198736,False,0.3592416019574216,False
GAGE2A,0.023887179487179486,1.0426974021654543,0.3002267275843031,0.36100770870247406,False,0.359259131235127,False
PIK3CA,-0.08494371482176,-1.0422864209723046,0.30041599341987985,0.3612133838039019,False,0.3594476454763149,False
RRM2B,-0.12401150719199627,-1.0415105548435653,0.30077351756866727,0.36162133167473604,False,0.35982113497157325,False
SBK2,0.19585403377110694,1.041312138175343,0.30086499561580343,0.36170938106111933,False,0.3599142837451266,False
FAM47C,0.10373933708567856,1.0408371876936482,0.3010840435477156,0.3619507790066098,False,0.3601545920555687,False
PRB4,-0.04627529706066292,-1.0405624763601176,0.3012107902504775,0.3620811936885931,False,0.36028446795710267,False
ATF1,0.07838717948718354,1.0403327085701517,0.30131682863793247,0.3621867008958196,False,0.3603960235912496,False
